分拣中心,日期,小时,货量
SC25,2023-12-27,10,12.86913449
SC25,2023-12-27,11,9.202312607
SC25,2023-12-27,12,10.96520774
SC25,2023-12-27,13,55.10810193
SC25,2023-12-27,14,60.04420831
SC25,2023-12-27,15,49.67838492
SC25,2023-12-27,16,36.17460818
SC25,2023-12-27,17,108.6295982
SC25,2023-12-27,18,113.9887995
SC25,2023-12-27,19,130.2426926
SC25,2023-12-27,20,155.0289982
SC25,2023-12-27,21,166.9814272
SC25,2023-12-27,22,170.6482491
SC25,2023-12-27,23,145.8972014
SC25,2023-12-28,0,109.604798
SC25,2023-12-28,1,38.38465355
SC25,2023-12-28,2,39.37431312
SC25,2023-12-28,3,44.00450614
SC25,2023-12-28,4,38.52603349
SC25,2023-12-28,5,5.831922501
SC25,2023-12-28,6,0
SC25,2023-12-28,7,7.634516728
SC25,2023-12-28,8,20.67681614
SC25,2023-12-28,9,24.14062465
SC25,2023-12-28,10,19.61646659
SC25,2023-12-28,11,19.65181158
SC25,2023-12-28,12,23.46906994
SC25,2023-12-28,13,72.17445907
SC25,2023-12-28,14,42.90881161
SC25,2023-12-28,15,40.18724778
SC25,2023-12-28,16,46.79675994
SC25,2023-12-28,17,85.8529682
SC25,2023-12-28,18,129.7514394
SC25,2023-12-28,19,129.5393695
SC25,2023-12-28,20,171.4938665
SC25,2023-12-28,21,183.0516765
SC25,2023-12-28,22,176.3714744
SC25,2023-12-28,23,147.8834166
SC25,2023-12-29,0,101.4425629
SC25,2023-12-29,1,53.14839134
SC25,2023-12-29,2,42.90846794
SC25,2023-12-29,3,35.43226089
SC25,2023-12-29,4,48.43590064
SC25,2023-12-29,5,3.295200263
SC25,2023-12-29,6,0
SC25,2023-12-29,7,10.55881375
SC25,2023-12-29,8,20.09009193
SC25,2023-12-29,9,18.17674984
SC25,2023-12-29,10,14.52722697
SC25,2023-12-29,11,18.8499628
SC25,2023-12-29,12,26.3616021
SC25,2023-12-29,13,57.57742395
SC25,2023-12-29,14,60.3411403
SC25,2023-12-29,15,58.88841761
SC25,2023-12-29,16,66.43548918
SC25,2023-12-29,17,99.88354346
SC25,2023-12-29,18,92.6907945
SC25,2023-12-29,19,97.89933685
SC25,2023-12-29,20,150.0910571
SC25,2023-12-29,21,177.8345174
SC25,2023-12-29,22,192.5034734
SC25,2023-12-29,23,169.3662071
SC25,2023-12-30,0,137.2837844
SC25,2023-12-30,1,48.41340185
SC25,2023-12-30,2,42.69472416
SC25,2023-12-30,3,41.16737546
SC25,2023-12-30,4,40.27938203
SC25,2023-12-30,5,11.65047381
SC25,2023-12-30,6,0
SC25,2023-12-30,7,8.276098776
SC25,2023-12-30,8,18.71890152
SC25,2023-12-30,9,14.598612
SC25,2023-12-30,10,18.25714494
SC25,2023-12-30,11,16.33907913
SC25,2023-12-30,12,25.04141475
SC25,2023-12-30,13,65.00111914
SC25,2023-12-30,14,61.30706647
SC25,2023-12-30,15,65.5339152
SC25,2023-12-30,16,49.62107292
SC25,2023-12-30,17,79.03141535
SC25,2023-12-30,18,99.70390242
SC25,2023-12-30,19,145.0626069
SC25,2023-12-30,20,154.9370938
SC25,2023-12-30,21,177.0658901
SC25,2023-12-30,22,170.1040216
SC25,2023-12-30,23,136.1826726
SC26,2023-12-1,0,0
SC26,2023-12-1,1,5.290732408
SC26,2023-12-1,2,92.75315253
SC26,2023-12-1,3,86.63574318
SC26,2023-12-1,4,82.58502618
SC26,2023-12-1,5,106.3106543
SC26,2023-12-1,6,29.76036979
SC26,2023-12-1,7,43.06986851
SC26,2023-12-1,8,25.54431741
SC26,2023-12-1,9,90.4384571
SC26,2023-12-1,10,52.5766533
SC26,2023-12-1,11,13.4748341
SC26,2023-12-1,12,29.18169594
SC26,2023-12-1,13,53.73400102
SC26,2023-12-1,14,28.18968361
SC26,2023-12-1,15,23.39495737
SC26,2023-12-1,16,54.31267487
SC26,2023-12-1,17,62.0007704
SC26,2023-12-1,18,26.78433281
SC26,2023-12-1,19,25.95765588
SC26,2023-12-1,20,18.15975311
SC26,2023-12-1,21,1.07468002
SC26,2023-12-1,22,0
SC26,2023-12-1,23,0
SC26,2023-12-2,0,0
SC26,2023-12-2,1,0
SC26,2023-12-2,2,5.859020417
SC26,2023-12-2,3,18.24035757
SC26,2023-12-2,4,31.20874833
SC26,2023-12-2,5,43.38407857
SC26,2023-12-2,6,50.32879924
SC26,2023-12-2,7,45.34494088
SC26,2023-12-2,8,44.8547253
SC26,2023-12-2,9,38.89043578
SC26,2023-12-2,10,41.34151366
SC26,2023-12-2,11,3.104698655
SC26,2023-12-2,12,21.89629577
SC26,2023-12-2,13,32.43593068
SC26,2023-12-2,14,60.45992117
SC26,2023-12-2,15,23.36694251
SC26,2023-12-2,16,25.81802039
SC26,2023-12-2,17,36.2759527
SC26,2023-12-2,18,66.01569771
SC26,2023-12-2,19,3.022996058
SC26,2023-12-2,20,0
SC26,2023-12-2,21,0
SC26,2023-12-2,22,0
SC26,2023-12-2,23,0
SC26,2023-12-3,0,0
SC26,2023-12-3,1,0
SC26,2023-12-3,2,0
SC26,2023-12-3,3,0
SC26,2023-12-3,4,0
SC26,2023-12-3,5,0
SC26,2023-12-3,6,0
SC26,2023-12-3,7,29.52707284
SC26,2023-12-3,8,53.36021979
SC26,2023-12-3,9,47.3409267
SC26,2023-12-3,10,51.48935843
SC26,2023-12-3,11,11.06248459
SC26,2023-12-3,12,29.68975644
SC26,2023-12-3,13,69.14052869
SC26,2023-12-3,14,46.20214153
SC26,2023-12-3,15,26.11071731
SC26,2023-12-3,16,40.10150664
SC26,2023-12-3,17,43.43652038
SC26,2023-12-3,18,29.68975644
SC26,2023-12-3,19,9.435648622
SC26,2023-12-3,20,0
SC26,2023-12-3,21,0
SC26,2023-12-3,22,0
SC26,2023-12-3,23,0
SC26,2023-12-4,0,0
SC26,2023-12-4,1,0
SC26,2023-12-4,2,0
SC26,2023-12-4,3,0
SC26,2023-12-4,4,0
SC26,2023-12-4,5,0
SC26,2023-12-4,6,6.681967003
SC26,2023-12-4,7,34.49581749
SC26,2023-12-4,8,57.7094735
SC26,2023-12-4,9,49.51164393
SC26,2023-12-4,10,42.85598032
SC26,2023-12-4,11,14.69115992
SC26,2023-12-4,12,25.56748826
SC26,2023-12-4,13,42.36898054
SC26,2023-12-4,14,38.63531559
SC26,2023-12-4,15,34.49581749
SC26,2023-12-4,16,42.36898054
SC26,2023-12-4,17,41.80081414
SC26,2023-12-4,18,39.203482
SC26,2023-12-4,19,12.74316082
SC26,2023-12-4,20,0
SC26,2023-12-4,21,0
SC26,2023-12-4,22,0
SC26,2023-12-4,23,0
SC26,2023-12-5,0,0
SC26,2023-12-5,1,0
SC26,2023-12-5,2,0
SC26,2023-12-5,3,0
SC26,2023-12-5,4,0
SC26,2023-12-5,5,0
SC26,2023-12-5,6,5.852230144
SC26,2023-12-5,7,31.20368509
SC26,2023-12-5,8,52.60049772
SC26,2023-12-5,9,52.92469185
SC26,2023-12-5,10,53.57308011
SC26,2023-12-5,11,22.77463769
SC26,2023-12-5,12,22.69358915
SC26,2023-12-5,13,37.76861623
SC26,2023-12-5,14,30.47424829
SC26,2023-12-5,15,28.7722291
SC26,2023-12-5,16,34.04038373
SC26,2023-12-5,17,36.30974265
SC26,2023-12-5,18,28.12384084
SC26,2023-12-5,19,0
SC26,2023-12-5,20,0
SC26,2023-12-5,21,0
SC26,2023-12-5,22,0
SC26,2023-12-5,23,0
SC26,2023-12-6,0,0
SC26,2023-12-6,1,0
SC26,2023-12-6,2,0
SC26,2023-12-6,3,0
SC26,2023-12-6,4,3.581930815
SC26,2023-12-6,5,17.81525025
SC26,2023-12-6,6,30.47979677
SC26,2023-12-6,7,40.39306902
SC26,2023-12-6,8,46.86891175
SC26,2023-12-6,9,53.42570251
SC26,2023-12-6,10,53.18285841
SC26,2023-12-6,11,14.4896981
SC26,2023-12-6,12,32.37921364
SC26,2023-12-6,13,41.12160132
SC26,2023-12-6,14,42.4977179
SC26,2023-12-6,15,36.50756338
SC26,2023-12-6,16,30.67930493
SC26,2023-12-6,17,38.12652406
SC26,2023-12-6,18,37.07419962
SC26,2023-12-6,19,0.404740171
SC26,2023-12-6,20,0
SC26,2023-12-6,21,0
SC26,2023-12-6,22,0
SC26,2023-12-6,23,0
SC26,2023-12-7,0,0
SC26,2023-12-7,1,0
SC26,2023-12-7,2,0
SC26,2023-12-7,3,0
SC26,2023-12-7,4,0
SC26,2023-12-7,5,0
SC26,2023-12-7,6,18.70765333
SC26,2023-12-7,7,40.2648003
SC26,2023-12-7,8,54.57578354
SC26,2023-12-7,9,51.66507509
SC26,2023-12-7,10,54.09066547
SC26,2023-12-7,11,12.61306997
SC26,2023-12-7,12,29.43049661
SC26,2023-12-7,13,46.89474734
SC26,2023-12-7,14,38.324328
SC26,2023-12-7,15,34.76679544
SC26,2023-12-7,16,32.01779301
SC26,2023-12-7,17,36.70726774
SC26,2023-12-7,18,26.43893514
SC26,2023-12-7,19,2.344737367
SC26,2023-12-7,20,0
SC26,2023-12-7,21,3.58735921
SC26,2023-12-7,22,6.633897567
SC26,2023-12-7,23,9.35318156
SC26,2023-12-8,0,11.94498289
SC26,2023-12-8,1,14.64733678
SC26,2023-12-8,2,17.66277421
SC26,2023-12-8,3,21.2046153
SC26,2023-12-8,4,25.48618019
SC26,2023-12-8,5,30.72078902
SC26,2023-12-8,6,37.12176192
SC26,2023-12-8,7,44.90241901
SC26,2023-12-8,8,52.09003645
SC26,2023-12-8,9,54.02827036
SC26,2023-12-8,10,48.45584786
SC26,2023-12-8,11,10.2564878
SC26,2023-12-8,12,30.36566466
SC26,2023-12-8,13,37.63404183
SC26,2023-12-8,14,42.80266561
SC26,2023-12-8,15,34.80745071
SC26,2023-12-8,16,31.17326212
SC26,2023-12-8,17,39.89531473
SC26,2023-12-8,18,33.99985325
SC26,2023-12-8,19,2.342032646
SC26,2023-12-8,20,0.242279239
SC26,2023-12-8,21,4.197754548
SC26,2023-12-8,22,4.725666441
SC26,2023-12-8,23,2.915791948
SC26,2023-12-9,0,0
SC26,2023-12-9,1,0
SC26,2023-12-9,2,0
SC26,2023-12-9,3,0
SC26,2023-12-9,4,0
SC26,2023-12-9,5,3.985966415
SC26,2023-12-9,6,16.31118741
SC26,2023-12-9,7,35.00951815
SC26,2023-12-9,8,51.30427084
SC26,2023-12-9,9,42.59222485
SC26,2023-12-9,10,45.73824146
SC26,2023-12-9,11,24.36146194
SC26,2023-12-9,12,23.95812648
SC26,2023-12-9,13,38.8008715
SC26,2023-12-9,14,41.22088428
SC26,2023-12-9,15,36.30019163
SC26,2023-12-9,16,36.38085873
SC26,2023-12-9,17,41.54355265
SC26,2023-12-9,18,35.41285362
SC26,2023-12-9,19,0
SC26,2023-12-9,20,0
SC26,2023-12-9,21,0
SC26,2023-12-9,22,0
SC26,2023-12-9,23,0
SC26,2023-12-10,0,0
SC26,2023-12-10,1,0
SC26,2023-12-10,2,0
SC26,2023-12-10,3,0
SC26,2023-12-10,4,0
SC26,2023-12-10,5,0
SC26,2023-12-10,6,0
SC26,2023-12-10,7,28.84574256
SC26,2023-12-10,8,70.9057359
SC26,2023-12-10,9,57.36918632
SC26,2023-12-10,10,50.03688863
SC26,2023-12-10,11,22.88321477
SC26,2023-12-10,12,21.59401957
SC26,2023-12-10,13,40.85137284
SC26,2023-12-10,14,34.64712095
SC26,2023-12-10,15,29.00689196
SC26,2023-12-10,16,30.21551246
SC26,2023-12-10,17,31.18240886
SC26,2023-12-10,18,26.10620276
SC26,2023-12-10,19,0
SC26,2023-12-10,20,0
SC26,2023-12-10,21,0
SC26,2023-12-10,22,0
SC26,2023-12-10,23,0
SC26,2023-12-11,0,0
SC26,2023-12-11,1,3.943640573
SC26,2023-12-11,2,106.8002253
SC26,2023-12-11,3,108.0879447
SC26,2023-12-11,4,81.20680283
SC26,2023-12-11,5,65.83465284
SC26,2023-12-11,6,38.71206359
SC26,2023-12-11,7,64.62741593
SC26,2023-12-11,8,55.45241541
SC26,2023-12-11,9,48.20899395
SC26,2023-12-11,10,56.98158216
SC26,2023-12-11,11,33.48070364
SC26,2023-12-11,12,60.20088059
SC26,2023-12-11,13,61.73004734
SC26,2023-12-11,14,64.70789839
SC26,2023-12-11,15,39.99978296
SC26,2023-12-11,16,44.98969552
SC26,2023-12-11,17,67.76623189
SC26,2023-12-11,18,63.90307378
SC26,2023-12-11,19,20.36206255
SC26,2023-12-11,20,4.909430101
SC26,2023-12-11,21,9.657895282
SC26,2023-12-11,22,0
SC26,2023-12-11,23,0
SC26,2023-12-12,0,0
SC26,2023-12-12,1,0.266954252
SC26,2023-12-12,2,10.39551093
SC26,2023-12-12,3,22.20434825
SC26,2023-12-12,4,33.68976304
SC26,2023-12-12,5,42.8480521
SC26,2023-12-12,6,49.6008408
SC26,2023-12-12,7,62.06134376
SC26,2023-12-12,8,80.22956097
SC26,2023-12-12,9,75.32575013
SC26,2023-12-12,10,61.82017274
SC26,2023-12-12,11,32.63847871
SC26,2023-12-12,12,57.07714258
SC26,2023-12-12,13,54.66543233
SC26,2023-12-12,14,43.4107845
SC26,2023-12-12,15,35.37175033
SC26,2023-12-12,16,32.07574632
SC26,2023-12-12,17,46.54600782
SC26,2023-12-12,18,35.21096965
SC26,2023-12-12,19,0.803903417
SC26,2023-12-12,20,0
SC26,2023-12-12,21,0
SC26,2023-12-12,22,0
SC26,2023-12-12,23,0
SC26,2023-12-13,0,0
SC26,2023-12-13,1,0
SC26,2023-12-13,2,0
SC26,2023-12-13,3,0
SC26,2023-12-13,4,0
SC26,2023-12-13,5,0
SC26,2023-12-13,6,5.377316066
SC26,2023-12-13,7,29.79068139
SC26,2023-12-13,8,49.22287787
SC26,2023-12-13,9,44.88676791
SC26,2023-12-13,10,35.491863
SC26,2023-12-13,11,23.84860478
SC26,2023-12-13,12,17.58533483
SC26,2023-12-13,13,36.05395133
SC26,2023-12-13,14,35.97365299
SC26,2023-12-13,15,30.19217305
SC26,2023-12-13,16,33.40410635
SC26,2023-12-13,17,31.23605137
SC26,2023-12-13,18,33.40410635
SC26,2023-12-13,19,2.087756647
SC26,2023-12-13,20,0
SC26,2023-12-13,21,0
SC26,2023-12-13,22,0
SC26,2023-12-13,23,0
SC26,2023-12-14,0,0
SC26,2023-12-14,1,0
SC26,2023-12-14,2,0
SC26,2023-12-14,3,0
SC26,2023-12-14,4,0
SC26,2023-12-14,5,0
SC26,2023-12-14,6,0
SC26,2023-12-14,7,29.35555344
SC26,2023-12-14,8,54.86119823
SC26,2023-12-14,9,36.1731
SC26,2023-12-14,10,39.94280222
SC26,2023-12-14,11,18.52768537
SC26,2023-12-14,12,15.56004745
SC26,2023-12-14,13,29.11493415
SC26,2023-12-14,14,34.24814568
SC26,2023-12-14,15,29.11493415
SC26,2023-12-14,16,31.44092063
SC26,2023-12-14,17,31.60133349
SC26,2023-12-14,18,32.32319136
SC26,2023-12-14,19,3.208257207
SC26,2023-12-14,20,1.684335033
SC26,2023-12-14,21,9.174145707
SC26,2023-12-14,22,15.90913175
SC26,2023-12-14,23,21.82678461
SC26,2023-12-15,0,26.83384901
SC26,2023-12-15,1,30.92462251
SC26,2023-12-15,2,34.0116872
SC26,2023-12-15,3,36.03260605
SC26,2023-12-15,4,36.92494203
SC26,2023-12-15,5,36.62625814
SC26,2023-12-15,6,35.07411734
SC26,2023-12-15,7,32.20608262
SC26,2023-12-15,8,31.16459238
SC26,2023-12-15,9,38.13456549
SC26,2023-12-15,10,30.12310215
SC26,2023-12-15,11,9.773985272
SC26,2023-12-15,12,10.81547551
SC26,2023-12-15,13,30.28333142
SC26,2023-12-15,14,36.61238745
SC26,2023-12-15,15,28.68103875
SC26,2023-12-15,16,31.64528018
SC26,2023-12-15,17,27.39920461
SC26,2023-12-15,18,32.44642652
SC26,2023-12-15,19,3.925617035
SC26,2023-12-15,20,0
SC26,2023-12-15,21,0
SC26,2023-12-15,22,0
SC26,2023-12-15,23,0
SC26,2023-12-16,0,0
SC26,2023-12-16,1,0
SC26,2023-12-16,2,0
SC26,2023-12-16,3,0
SC26,2023-12-16,4,0
SC26,2023-12-16,5,8.846724776
SC26,2023-12-16,6,19.65172382
SC26,2023-12-16,7,26.64763961
SC26,2023-12-16,8,30.72880964
SC26,2023-12-16,9,36.49046145
SC26,2023-12-16,10,31.2089473
SC26,2023-12-16,11,14.80424423
SC26,2023-12-16,12,14.80424423
SC26,2023-12-16,13,30.32869494
SC26,2023-12-16,14,27.36784609
SC26,2023-12-16,15,27.36784609
SC26,2023-12-16,16,24.80711195
SC26,2023-12-16,17,26.72766256
SC26,2023-12-16,18,25.76738725
SC26,2023-12-16,19,0
SC26,2023-12-16,20,0
SC26,2023-12-16,21,0
SC26,2023-12-16,22,0
SC26,2023-12-16,23,0
SC26,2023-12-17,0,0
SC26,2023-12-17,1,0
SC26,2023-12-17,2,0
SC26,2023-12-17,3,0
SC26,2023-12-17,4,0
SC26,2023-12-17,5,0
SC26,2023-12-17,6,8.62167743
SC26,2023-12-17,7,24.85865145
SC26,2023-12-17,8,36.60856066
SC26,2023-12-17,9,35.16979627
SC26,2023-12-17,10,35.00993356
SC26,2023-12-17,11,14.06791851
SC26,2023-12-17,12,14.38764393
SC26,2023-12-17,13,29.01508192
SC26,2023-12-17,14,28.21576837
SC26,2023-12-17,15,22.86036758
SC26,2023-12-17,16,26.45727856
SC26,2023-12-17,17,24.93858281
SC26,2023-12-17,18,30.21405225
SC26,2023-12-17,19,2.47787201
SC26,2023-12-17,20,1.358833038
SC26,2023-12-17,21,0
SC26,2023-12-17,22,0
SC26,2023-12-17,23,0
SC26,2023-12-18,0,0
SC26,2023-12-18,1,0
SC26,2023-12-18,2,0
SC26,2023-12-18,3,0
SC26,2023-12-18,4,0
SC26,2023-12-18,5,0
SC26,2023-12-18,6,2.838830964
SC26,2023-12-18,7,19.00188986
SC26,2023-12-18,8,34.81018479
SC26,2023-12-18,9,34.73034492
SC26,2023-12-18,10,34.25130568
SC26,2023-12-18,11,16.92605315
SC26,2023-12-18,12,16.52685379
SC26,2023-12-18,13,32.33514872
SC26,2023-12-18,14,30.33915188
SC26,2023-12-18,15,21.15756644
SC26,2023-12-18,16,23.47292277
SC26,2023-12-18,17,28.10363543
SC26,2023-12-18,18,26.50683796
SC26,2023-12-18,19,0
SC26,2023-12-18,20,0
SC26,2023-12-18,21,0
SC26,2023-12-18,22,0
SC26,2023-12-18,23,0
SC26,2023-12-19,0,0
SC26,2023-12-19,1,0
SC26,2023-12-19,2,0
SC26,2023-12-19,3,0
SC26,2023-12-19,4,0
SC26,2023-12-19,5,0
SC26,2023-12-19,6,0
SC26,2023-12-19,7,12.60026241
SC26,2023-12-19,8,38.43877521
SC26,2023-12-19,9,35.48808085
SC26,2023-12-19,10,29.34744663
SC26,2023-12-19,11,19.61813009
SC26,2023-12-19,12,12.44076542
SC26,2023-12-19,13,29.90568611
SC26,2023-12-19,14,26.87524325
SC26,2023-12-19,15,21.61184249
SC26,2023-12-19,16,20.81435753
SC26,2023-12-19,17,25.04102783
SC26,2023-12-19,18,21.85108798
SC26,2023-12-19,19,3.508933837
SC26,2023-12-19,20,3.030442859
SC26,2023-12-19,21,0
SC26,2023-12-19,22,0
SC26,2023-12-19,23,0
SC26,2023-12-20,0,0
SC26,2023-12-20,1,0
SC26,2023-12-20,2,0
SC26,2023-12-20,3,0
SC26,2023-12-20,4,0
SC26,2023-12-20,5,0
SC26,2023-12-20,6,0
SC26,2023-12-20,7,15.45350141
SC26,2023-12-20,8,42.5369575
SC26,2023-12-20,9,34.33226345
SC26,2023-12-20,10,33.29671954
SC26,2023-12-20,11,11.78926912
SC26,2023-12-20,12,13.54172804
SC26,2023-12-20,13,28.19865722
SC26,2023-12-20,14,24.13613881
SC26,2023-12-20,15,20.39224929
SC26,2023-12-20,16,18.71944759
SC26,2023-12-20,17,25.01236827
SC26,2023-12-20,18,30.90700283
SC26,2023-12-20,19,3.026974504
SC26,2023-12-20,20,1.035543909
SC26,2023-12-20,21,3.031236938
SC26,2023-12-20,22,0
SC26,2023-12-20,23,0
SC26,2023-12-21,0,0
SC26,2023-12-21,1,0
SC26,2023-12-21,2,0
SC26,2023-12-21,3,0
SC26,2023-12-21,4,0
SC26,2023-12-21,5,0
SC26,2023-12-21,6,0
SC26,2023-12-21,7,18.22062676
SC26,2023-12-21,8,43.04523615
SC26,2023-12-21,9,44.71612333
SC26,2023-12-21,10,43.28393432
SC26,2023-12-21,11,15.83364509
SC26,2023-12-21,12,12.25317258
SC26,2023-12-21,13,28.80291218
SC26,2023-12-21,14,28.16638373
SC26,2023-12-21,15,23.07415616
SC26,2023-12-21,16,31.03076174
SC26,2023-12-21,17,24.10851489
SC26,2023-12-21,18,32.5425168
SC26,2023-12-21,19,2.546113784
SC26,2023-12-21,20,1.273056892
SC26,2023-12-21,21,0
SC26,2023-12-21,22,0
SC26,2023-12-21,23,0
SC26,2023-12-22,0,0
SC26,2023-12-22,1,0
SC26,2023-12-22,2,0
SC26,2023-12-22,3,0
SC26,2023-12-22,4,0
SC26,2023-12-22,5,0
SC26,2023-12-22,6,0
SC26,2023-12-22,7,20.26612297
SC26,2023-12-22,8,46.41339535
SC26,2023-12-22,9,45.06232048
SC26,2023-12-22,10,35.28689646
SC26,2023-12-22,11,12.23914877
SC26,2023-12-22,12,11.84177381
SC26,2023-12-22,13,22.72984772
SC26,2023-12-22,14,25.43199745
SC26,2023-12-22,15,28.53152214
SC26,2023-12-22,16,20.42507295
SC26,2023-12-22,17,25.03462249
SC26,2023-12-22,18,29.80312201
SC26,2023-12-22,19,3.417424657
SC26,2023-12-22,20,2.066349793
SC26,2023-12-22,21,0
SC26,2023-12-22,22,0
SC26,2023-12-22,23,0
SC26,2023-12-23,0,0
SC26,2023-12-23,1,0
SC26,2023-12-23,2,0
SC26,2023-12-23,3,0
SC26,2023-12-23,4,0
SC26,2023-12-23,5,0
SC26,2023-12-23,6,0
SC26,2023-12-23,7,20.08416024
SC26,2023-12-23,8,43.18491372
SC26,2023-12-23,9,36.83419111
SC26,2023-12-23,10,28.57825172
SC26,2023-12-23,11,15.55927038
SC26,2023-12-23,12,12.30452505
SC26,2023-12-23,13,20.56046443
SC26,2023-12-23,14,27.22872317
SC26,2023-12-23,15,17.22633507
SC26,2023-12-23,16,16.19434264
SC26,2023-12-23,17,26.51426688
SC26,2023-12-23,18,23.97397783
SC26,2023-12-23,19,2.77844114
SC26,2023-12-23,20,3.016593237
SC26,2023-12-23,21,0.476304195
SC26,2023-12-23,22,0
SC26,2023-12-23,23,0
SC26,2023-12-24,0,0
SC26,2023-12-24,1,0
SC26,2023-12-24,2,0
SC26,2023-12-24,3,0
SC26,2023-12-24,4,0
SC26,2023-12-24,5,4.594828618
SC26,2023-12-24,6,14.00323224
SC26,2023-12-24,7,26.0874553
SC26,2023-12-24,8,36.39556833
SC26,2023-12-24,9,33.3824276
SC26,2023-12-24,10,31.00363228
SC26,2023-12-24,11,11.49751069
SC26,2023-12-24,12,10.14952668
SC26,2023-12-24,13,23.07431456
SC26,2023-12-24,14,28.54554379
SC26,2023-12-24,15,23.23290092
SC26,2023-12-24,16,27.1182666
SC26,2023-12-24,17,24.02583269
SC26,2023-12-24,18,30.36928686
SC26,2023-12-24,19,3.647486151
SC26,2023-12-24,20,2.140915784
SC26,2023-12-24,21,0
SC26,2023-12-24,22,0
SC26,2023-12-24,23,0
SC26,2023-12-25,0,0
SC26,2023-12-25,1,0
SC26,2023-12-25,2,0
SC26,2023-12-25,3,0
SC26,2023-12-25,4,0
SC26,2023-12-25,5,0
SC26,2023-12-25,6,0
SC26,2023-12-25,7,18.29576036
SC26,2023-12-25,8,38.49237894
SC26,2023-12-25,9,29.22569512
SC26,2023-12-25,10,34.29465037
SC26,2023-12-25,11,17.26612883
SC26,2023-12-25,12,10.45472021
SC26,2023-12-25,13,24.63195443
SC26,2023-12-25,14,30.25532666
SC26,2023-12-25,15,28.82968299
SC26,2023-12-25,16,23.83993017
SC26,2023-12-25,17,25.42397868
SC26,2023-12-25,18,34.45305523
SC26,2023-12-25,19,0
SC26,2023-12-25,20,0
SC26,2023-12-25,21,0
SC26,2023-12-25,22,0
SC26,2023-12-25,23,0
SC26,2023-12-26,0,0
SC26,2023-12-26,1,0
SC26,2023-12-26,2,0
SC26,2023-12-26,3,0
SC26,2023-12-26,4,0
SC26,2023-12-26,5,0
SC26,2023-12-26,6,0
SC26,2023-12-26,7,20.4108388
SC26,2023-12-26,8,36.0749709
SC26,2023-12-26,9,36.15408268
SC26,2023-12-26,10,30.93270531
SC26,2023-12-26,11,15.03123787
SC26,2023-12-26,12,12.7369963
SC26,2023-12-26,13,28.55935196
SC26,2023-12-26,14,24.12909238
SC26,2023-12-26,15,24.60376305
SC26,2023-12-26,16,34.49273533
SC26,2023-12-26,17,28.48024018
SC26,2023-12-26,18,27.13533995
SC26,2023-12-26,19,0
SC26,2023-12-26,20,0
SC26,2023-12-26,21,0
SC26,2023-12-26,22,0
SC26,2023-12-26,23,0
SC26,2023-12-27,0,0
SC26,2023-12-27,1,0
SC26,2023-12-27,2,0
SC26,2023-12-27,3,0
SC26,2023-12-27,4,0
SC26,2023-12-27,5,0
SC26,2023-12-27,6,0
SC26,2023-12-27,7,15.5671832
SC26,2023-12-27,8,41.40712688
SC26,2023-12-27,9,42.27636046
SC26,2023-12-27,10,28.52666566
SC26,2023-12-27,11,16.51543801
SC26,2023-12-27,12,12.64339752
SC26,2023-12-27,13,26.86721973
SC26,2023-12-27,14,23.86441282
SC26,2023-12-27,15,21.25671208
SC26,2023-12-27,16,23.86441282
SC26,2023-12-27,17,21.41475455
SC26,2023-12-27,18,29.55394171
SC26,2023-12-27,19,4.188125429
SC26,2023-12-27,20,1.501403456
SC26,2023-12-27,21,0
SC26,2023-12-27,22,0
SC26,2023-12-27,23,0
SC26,2023-12-28,0,0
SC26,2023-12-28,1,0
SC26,2023-12-28,2,0
SC26,2023-12-28,3,0
SC26,2023-12-28,4,0
SC26,2023-12-28,5,0
SC26,2023-12-28,6,0.005014847
SC26,2023-12-28,7,16.25974364
SC26,2023-12-28,8,32.28269489
SC26,2023-12-28,9,32.67734887
SC26,2023-12-28,10,33.70344919
SC26,2023-12-28,11,13.02358107
SC26,2023-12-28,12,13.9707506
SC26,2023-12-28,13,26.20502373
SC26,2023-12-28,14,34.17703396
SC26,2023-12-28,15,24.31068466
SC26,2023-12-28,16,32.36162569
SC26,2023-12-28,17,27.9415012
SC26,2023-12-28,18,25.41571579
SC26,2023-12-28,19,2.762577803
SC26,2023-12-28,20,1.341823504
SC26,2023-12-28,21,0
SC26,2023-12-28,22,0
SC26,2023-12-28,23,0
SC26,2023-12-29,0,0
SC26,2023-12-29,1,0
SC26,2023-12-29,2,0
SC26,2023-12-29,3,0
SC26,2023-12-29,4,0
SC26,2023-12-29,5,0
SC26,2023-12-29,6,2.873372878
SC26,2023-12-29,7,20.41967855
SC26,2023-12-29,8,38.237622
SC26,2023-12-29,9,38.31646246
SC26,2023-12-29,10,32.16690676
SC26,2023-12-29,11,17.10837933
SC26,2023-12-29,12,16.63533658
SC26,2023-12-29,13,24.9924251
SC26,2023-12-29,14,25.70198922
SC26,2023-12-29,15,27.83068158
SC26,2023-12-29,16,25.38662739
SC26,2023-12-29,17,28.5402457
SC26,2023-12-29,18,25.07126556
SC26,2023-12-29,19,4.415065633
SC26,2023-12-29,20,1.261447324
SC26,2023-12-29,21,0.845563872
SC26,2023-12-29,22,0
SC26,2023-12-29,23,0
SC26,2023-12-30,0,0
SC26,2023-12-30,1,0
SC26,2023-12-30,2,0
SC26,2023-12-30,3,0
SC26,2023-12-30,4,0
SC26,2023-12-30,5,0
SC26,2023-12-30,6,0
